SalesPersonID,TerritoryID,SalesQuota,Bonus,CommissionPct,SalesYTD,SalesLastYear
268,,,0.0,0.0,677558.4653,0.0
275,2.0,300000.0,4100.0,0.012,4557045.0459,1750406.4785
276,4.0,250000.0,2000.0,0.015,5200475.2313,1439156.0291
277,3.0,250000.0,2500.0,0.015,3857163.6332,1997186.2037
278,6.0,250000.0,500.0,0.01,1764938.9859,1620276.8966
279,5.0,300000.0,6700.0,0.01,2811012.7151,1849640.9418
280,1.0,250000.0,5000.0,0.01,0.0,1927059.178
281,4.0,250000.0,3550.0,0.01,3018725.4858,2073505.9999
282,6.0,250000.0,5000.0,0.015,3189356.2465,2038234.6549
283,1.0,250000.0,3500.0,0.012,3587378.4257,1371635.3158
284,,,0.0,0.0,636440.251,0.0
285,10.0,250000.0,5150.0,0.02,5015682.3752,1635823.3967
286,7.0,250000.0,985.0,0.016,3827950.238,2396539.7601
287,1.0,300000.0,3900.0,0.019,1931620.1835,0.0
288,,,0.0,0.0,219088.8836,0.0
289,8.0,250000.0,75.0,0.018,2241204.0424,1307949.7917
290,9.0,250000.0,5650.0,0.018,1758385.926,2278548.9776
